candidate_count=149
 1590.5m | enkeltminner | 3403-1 | name='Gl-' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.743499085165 lon=10.775537801971 | info=Beskrivelse fra lokalitet: På en fin avrundet og fremstående terrasse i åssiden, med svak V-helling, ble det i 1 prøvestikk i sandig masse funnet: 4 flint avsalg. Aksnr. 90/142. (1989).I tillegg ble det tatt 1 posetivt prøvestikk (2 flint) på boplassflaten 2008. Boplassområdet er topografisk gott avgrenset mot N og S. Åpen mot Ø - V. Utstrekkning: ca 15m Ø-V x 15m N/S. Beskrivelse fra Enkeltminne: PÅ R3403 ble det prøvestikket på nytt. Grunnen til dette er att de tidligere registreringsopplysningerne er mangelfulle, samt att det ikke foreligger noen god topografisk avgrensning av boplassflaten i øst-vestlig retning. (Opprettet i Askeladden 20.11.1989). Boplassområdet ligger ca 85-90 moh på e
 1604.9m | lokaliteter  | 76265-1 | name='Nordby' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.739792488646 lon=10.781771375086 | info=Prøvestikket viste at det ikke er noen arkeologisk relevant vertikal stratigrafi på boplass nr 1. Øverst i stikket var det et ca 5cm tykt torvlag som ble etterfulgt av et ca 7cm tykt lag med grå utvasket sand/grus. I bunnen var det rødbrun anriket grov sand og fin grus. Undergrunnen kan mao best beskrives som typisk podsol. Det ble ikke funnet skjørbrent stein eller trekull i prøvestikket, men bare et flintavslag ca 10cm under markoverflaten. Boplassen syntes derfor ikke å være særlig funnrik selv om man ikke kan utelukke at at det finns mer funnrike områder andre steder på boplassen. Ved planlegging av eventuell utgraving bør man derfor forutsette at hele flaten er funnførende, og at tykkel
 1608.7m | enkeltminner | 76265-1 | name='Nordby' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.739752248732 lon=10.781764112476 | info=Prøvestikket viste at det ikke er noen arkeologisk relevant vertikal stratigrafi på boplass nr 1. Øverst i stikket var det et ca 5cm tykt torvlag som ble etterfulgt av et ca 7cm tykt lag med grå utvasket sand/grus. I bunnen var det rødbrun anriket grov sand og fin grus. Undergrunnen kan mao best beskrives som typisk podsol. Det ble ikke funnet skjørbrent stein eller trekull i prøvestikket, men bare et flintavslag ca 10cm under markoverflaten. Boplassen syntes derfor ikke å være særlig funnrik selv om man ikke kan utelukke at at det finns mer funnrike områder andre steder på boplassen. Ved planlegging av eventuell utgraving bør man derfor forutsette at hele flaten er funnførende, og at tykkel
 1650.1m | lokaliteter  | 91775-1 | name='Seiersten' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.756673011264 lon=10.772304373650 | info=Lokaliteten ligger på en flate i svak helling mot øst, 60-65 m.o.h. omgitt av barskog. Selve lokaliteten har en utstrekning på ca 10 x 25-30 meter i øst-vest retning. Det ble tatt 10 prøvestikk, hvorav et inneholdt et avslag av flint. Det positive prøvestikket ble gjort i nordøstre del av lokaliteten. Flintavslaget ble funnet 15-20 cm dypt.Undergrunnen består av podsol hvor torven er 7 cm tykk, utvaskingslaget 7 cm og deretter et anrikningslag bestående av fin, rødbrun jord nærmest uten stein. Podsolprofilen viste 50 cm ned til steril undergrunn.
 1650.2m | enkeltminner | 91775-1 | name='Seiersten' | loc_art=None | item_art=1201 | dating=021 | vern=AUT | function=1200 | lat=59.756677711883 lon=10.772305220245 | info=Lokaliteten ligger på en flate i svak helling mot øst, 60-65 m.o.h. omgitt av barskog. Selve lokaliteten har en utstrekning på ca 10 x 25-30 meter i øst-vest retning. Det ble tatt 10 prøvestikk, hvorav et inneholdt et avslag av flint. Det positive prøvestikket ble gjort i nordøstre del av lokaliteten. Flintavslaget ble funnet 15-20 cm dypt.Undergrunnen består av podsol hvor torven er 7 cm tykk, utvaskingslaget 7 cm og deretter et anrikningslag bestående av fin, rødbrun jord nærmest uten stein. Podsolprofilen viste 50 cm ned til steril undergrunn.
 1664.4m | lokaliteter  | 21301-1 | name='Nordby' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.739253926280 lon=10.781413925985 | info=Beskrivelse fra lokalitet: Fra registrering av Ove Olstad 1996: Boplass nr. 2 ligger på en tilnærmet plan løsmasseflate 72 moh. Flaten avgrenses topografisk av en bergkolle i N og NØ. Mot NV og SØ faller terrenget slakt mot lavereliggende partier, mens det mot SV stiger svakt mot andre høyder i landskapet. Boplassens utstrekning ble i felt målt til å være ca. 13 m Ø-V og 15 m N-S. den utgjør dermed et areal på mellom 190 og 200 kvadratmeter. Innenfor dette arealet ble det tatt 4 prøvestikk mens det utenfor ble tatt 2. Av de 4 innenfor var det bare ett sentralt på flaten som var funnførende. Det inneholdt ett hvitbrent flintavslag, men ikke trekull eller skjørbrent stein. Boplass nr. 2 er der
 1667.0m | enkeltminner | 21301-1 | name='Nordby' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.739226250672 lon=10.781408930306 | info=Beskrivelse fra lokalitet: Fra registrering av Ove Olstad 1996: Boplass nr. 2 ligger på en tilnærmet plan løsmasseflate 72 moh. Flaten avgrenses topografisk av en bergkolle i N og NØ. Mot NV og SØ faller terrenget slakt mot lavereliggende partier, mens det mot SV stiger svakt mot andre høyder i landskapet. Boplassens utstrekning ble i felt målt til å være ca. 13 m Ø-V og 15 m N-S. den utgjør dermed et areal på mellom 190 og 200 kvadratmeter. Innenfor dette arealet ble det tatt 4 prøvestikk mens det utenfor ble tatt 2. Av de 4 innenfor var det bare ett sentralt på flaten som var funnførende. Det inneholdt ett hvitbrent flintavslag, men ikke trekull eller skjørbrent stein. Boplass nr. 2 er der
 1667.9m | enkeltminner | 68443-1 | name='Fåle søndre' | loc_art=None | item_art=1201 | dating=020 | vern=FJE | function=1200 | lat=59.757700062384 lon=10.772867969173 | info=C29355 2 sammenhørende stkr av en slipestein av rød sandstein men uten bruksspor. Funnet på et jorde 200m S for huset. Finnestedet er et lite dalføre som går ned mot Gjersjøen og er avgrenset med høydedrag mot S, V og N. Små knauser går ut i jordet og langs kantene her har far til grunneier 1953, Sverre Seiersten, plukket opp en mengde større avfallsstykker av stein som kan ha vært eslet til råmateriale til redskap. På samme jordstykke er tidligere funnet flere steinøkser og slipesteinsfragmenter så det er tydelig at her har vært en boplass. Fra samme jorde stammer en slipestein av kornet stein. Den er lite brukt og noe forvitret på oversiden. Flat på den ene siden, innbuet på den andre. L 3
 1667.9m | lokaliteter  | 68443-1 | name='Fåle søndre' | loc_art=20159 | item_art=None | dating=None | vern=FJE | function=1200 | lat=59.757700175234 lon=10.772867971275 | info=C29355 2 sammenhørende stkr av en slipestein av rød sandstein men uten bruksspor. Funnet på et jorde 200m S for huset. Finnestedet er et lite dalføre som går ned mot Gjersjøen og er avgrenset med høydedrag mot S, V og N. Små knauser går ut i jordet og langs kantene her har far til grunneier 1953, Sverre Seiersten, plukket opp en mengde større avfallsstykker av stein som kan ha vært eslet til råmateriale til redskap. På samme jordstykke er tidligere funnet flere steinøkser og slipesteinsfragmenter så det er tydelig at her har vært en boplass. Fra samme jorde stammer en slipestein av kornet stein. Den er lite brukt og noe forvitret på oversiden. Flat på den ene siden, innbuet på den andre. L 3
 1680.4m | enkeltminner | 22638-1 | name='Nordby' | loc_art=None | item_art=1201 | dating=020 | vern=FJE | function=1200 | lat=59.739623636103 lon=10.780061700100 | info=I alt 5 prøvestikk med funn, to i søkket og 3 på flaten. De 2 i søkket (st.1 og 2)inneholdt et forholdsvis tykt utvaskningslag med grå silt hhv.15 0g 10cm over rødbrunt anrikningslag. I st.2 en god del stein, i st.1 lite stein. I st.3,4 og 5, nesten ikke utvaskningslag. Rødbrun sand. Det ble gjort følgende funn: St.1: 4 avslag, 1 flekkefragment av flint,7 chert avslag, 5 kvarts avslag, 2 bergkrystall avslag,3 kvartsitt avslag 1 bergart avslag, 1 kokstein. St.2: 4 flint avslag, 2 chert avslag,1 kvarts avslag. St.3: 1 flint avslag, St.4: 1 flint avslag. St.5: 2 flint avslag, 1 chert avslag. Lokaliteten er den samme som lok 3 id 21302 (se hendelser).
